dataset,split,configuration,seed,sample_id,label,probability
biosnap,random,full,42,100,0,3.140464059470105e-06
biosnap,random,full,42,101,0,2.1466576072270982e-05
biosnap,random,full,42,102,0,0.280760258436203
biosnap,random,full,42,103,1,0.9999980926513672
biosnap,random,full,42,104,0,3.5299413866596296e-05
biosnap,random,full,42,105,1,0.9999899864196777
biosnap,random,full,42,106,0,0.00031570738065056503
biosnap,random,full,42,107,1,0.0015828566392883658
biosnap,random,full,42,108,0,7.31702966731973e-05
biosnap,random,full,42,109,0,4.048875780426897e-05
biosnap,random,full,42,110,0,0.004771335516124964
biosnap,random,full,42,111,0,0.005331004038453102
biosnap,random,full,42,112,0,0.0023995372466742992
biosnap,random,full,42,113,1,0.9988476037979126
biosnap,random,full,42,114,0,7.455402374034747e-05
biosnap,random,full,42,115,0,0.001606677076779306
biosnap,random,full,42,116,0,0.833021879196167
biosnap,random,full,42,117,1,0.9999880790710449
biosnap,random,full,42,118,1,0.9999997615814209
biosnap,random,full,42,119,1,0.999998927116394
biosnap,random,full,42,120,0,0.9914372563362122
biosnap,random,full,42,121,0,0.20167987048625946
biosnap,random,full,42,122,0,0.0028799523133784533
biosnap,random,full,42,123,1,0.9859161972999573
biosnap,random,full,42,124,0,0.15531760454177856
biosnap,random,full,42,125,0,0.004093635361641645
biosnap,random,full,42,126,1,0.999356210231781
biosnap,random,full,42,127,1,0.9994027614593506
biosnap,random,full,42,128,0,0.06004646420478821
biosnap,random,full,42,129,1,0.9999942779541016
biosnap,random,full,42,130,1,0.9674361348152161
biosnap,random,full,42,131,1,0.37621113657951355
biosnap,random,full,42,132,1,0.05193711072206497
biosnap,random,full,42,133,0,0.4857536554336548
biosnap,random,full,42,134,1,0.9999986886978149
biosnap,random,full,42,135,1,0.9999997615814209
biosnap,random,full,42,136,1,0.9998070597648621
biosnap,random,full,42,137,1,0.9954953193664551
biosnap,random,full,42,138,0,9.369558392791077e-05
biosnap,random,full,42,139,0,4.08477918156791e-09
biosnap,random,full,42,140,1,2.751862666627858e-05
biosnap,random,full,42,141,0,0.030340692028403282
biosnap,random,full,42,142,1,0.9920302629470825
biosnap,random,full,42,143,1,0.9999217987060547
biosnap,random,full,42,144,1,0.9990763664245605
biosnap,random,full,42,145,1,0.11128208041191101
biosnap,random,full,42,146,0,0.9809884428977966
biosnap,random,full,42,147,1,0.9999514818191528
biosnap,random,full,42,148,0,1.590641841175966e-05
biosnap,random,full,42,149,0,5.649049853673205e-05
biosnap,random,full,42,150,0,0.09451484680175781
biosnap,random,full,42,151,0,0.00036013382486999035
biosnap,random,full,42,152,0,0.002980611752718687
biosnap,random,full,42,153,0,0.0030169899109750986
biosnap,random,full,42,154,0,0.027331825345754623
biosnap,random,full,42,155,0,1.0542347581576905e-06
biosnap,random,full,42,156,0,0.14005641639232635
biosnap,random,full,42,157,0,0.14105242490768433
biosnap,random,full,42,158,0,0.8833233118057251
biosnap,random,full,42,159,1,0.9769431352615356
biosnap,random,full,42,160,1,0.9999978542327881
biosnap,random,full,42,161,1,0.9998650550842285
biosnap,random,full,42,162,0,0.08361852914094925
biosnap,random,full,42,163,0,0.08281072229146957
biosnap,random,full,42,164,0,0.00016727860202081501
biosnap,random,full,42,165,0,0.0161175224930048
biosnap,random,full,42,166,0,0.6759415864944458
biosnap,random,full,42,167,0,0.11377902328968048
biosnap,random,full,42,168,1,0.9999998807907104
biosnap,random,full,42,169,0,0.0001260989811271429
biosnap,random,full,42,170,0,0.12066900730133057
biosnap,random,full,42,171,0,0.000615192111581564
biosnap,random,full,42,172,0,0.0001242340076714754
biosnap,random,full,42,173,1,0.673750102519989
biosnap,random,full,42,174,0,2.7355729343980784e-06
biosnap,random,full,42,175,0,0.9974132180213928
biosnap,random,full,42,176,1,0.9688168168067932
biosnap,random,full,42,177,1,0.025457007810473442
biosnap,random,full,42,178,1,0.9999974966049194
biosnap,random,full,42,179,1,0.7290068864822388
biosnap,random,full,42,180,1,0.9999409914016724
biosnap,random,full,42,181,0,0.9827319979667664
biosnap,random,full,42,182,0,0.002501178067177534
biosnap,random,full,42,183,1,0.9072340130805969
biosnap,random,full,42,184,1,0.9996206760406494
biosnap,random,full,42,185,0,0.9269927740097046
biosnap,random,full,42,186,0,0.9740967750549316
biosnap,random,full,42,187,0,2.3955656160978833e-06
biosnap,random,full,42,188,0,0.009309401735663414
biosnap,random,full,42,189,0,3.7417503335746005e-05
biosnap,random,full,42,190,0,0.0008291343692690134
biosnap,random,full,42,191,0,0.030755216255784035
biosnap,random,full,42,192,1,0.9941228032112122
biosnap,random,full,42,193,1,0.9999675750732422
biosnap,random,full,42,194,1,0.9999969005584717
biosnap,random,full,42,195,1,0.9998018145561218
biosnap,random,full,42,196,0,5.074841465102509e-05
biosnap,random,full,42,197,0,1.4836620039204718e-06
biosnap,random,full,42,198,0,0.0026249962393194437
biosnap,random,full,42,199,0,7.46913656257675e-06
biosnap,random,full,42,200,1,0.9999229907989502
biosnap,random,full,42,201,0,0.9997814297676086
biosnap,random,full,42,202,0,0.9999984502792358
biosnap,random,full,42,203,1,0.9997804760932922
biosnap,random,full,42,204,1,0.9868979454040527
biosnap,random,full,42,205,0,0.00038280244916677475
biosnap,random,full,42,206,1,0.9998769760131836
biosnap,random,full,42,207,1,0.9993075132369995
biosnap,random,full,42,208,0,0.0004735813708975911
biosnap,random,full,42,209,0,0.00013950152788311243
biosnap,random,full,42,210,0,1.3388604202191345e-05
biosnap,random,full,42,211,1,0.9999961853027344
biosnap,random,full,42,212,0,0.0025640956591814756
biosnap,random,full,42,213,1,0.9999709129333496
biosnap,random,full,42,214,0,2.125153059751028e-06
biosnap,random,full,42,215,0,0.0005852367030456662
biosnap,random,full,42,216,0,8.546443496015854e-06
biosnap,random,full,42,217,1,0.9999862909317017
biosnap,random,full,42,218,1,0.9999860525131226
biosnap,random,full,42,219,0,8.866296411724761e-06
biosnap,random,full,42,220,0,0.2095908522605896
biosnap,random,full,42,221,0,7.467003229066904e-07
biosnap,random,full,42,222,1,0.9999973773956299
biosnap,random,full,42,223,0,0.6597996354103088
biosnap,random,full,42,224,1,0.9996021389961243
biosnap,random,full,42,225,0,5.208744369156193e-07
biosnap,random,full,42,226,0,0.003462661523371935
biosnap,random,full,42,227,0,0.9009613394737244
biosnap,random,full,42,228,0,0.002459753304719925
biosnap,random,full,42,229,0,0.9998123049736023
biosnap,random,full,42,230,0,0.0003618074406404048
biosnap,random,full,42,231,1,0.09474466741085052
biosnap,random,full,42,232,0,0.3357178866863251
biosnap,random,full,42,233,1,0.9980180263519287
biosnap,random,full,42,234,0,0.02569136954843998
biosnap,random,full,42,235,0,0.014253015629947186
biosnap,random,full,42,236,0,6.767105514882132e-05
biosnap,random,full,42,237,0,1.5257886843755841e-05
biosnap,random,full,42,238,1,0.9999978542327881
biosnap,random,full,42,239,0,0.03382100537419319
biosnap,random,full,42,240,1,0.999980092048645
biosnap,random,full,42,241,0,0.8906838297843933
biosnap,random,full,42,242,0,0.1250750720500946
biosnap,random,full,42,243,0,8.053132916074901e-08
biosnap,random,full,42,244,1,0.9999886751174927
biosnap,random,full,42,245,1,1.0
biosnap,random,full,42,246,0,5.862244506715797e-05
biosnap,random,full,42,247,0,0.7738323211669922
biosnap,random,full,42,248,1,0.8613919019699097
biosnap,random,full,42,249,1,1.0
biosnap,random,full,42,250,0,8.899384056348936e-07
biosnap,random,full,42,251,1,0.9998676776885986
biosnap,random,full,42,252,1,0.9999988079071045
biosnap,random,full,42,253,0,0.0009543347405269742
biosnap,random,full,42,254,1,0.9999611377716064
biosnap,random,full,42,255,0,0.061197344213724136
biosnap,random,full,42,256,0,5.890089141757926e-06
biosnap,random,full,42,257,0,0.02482668310403824
biosnap,random,full,42,258,0,0.0009860256686806679
biosnap,random,full,42,259,1,0.9999939203262329
biosnap,random,full,42,260,1,0.9992245435714722
biosnap,random,full,42,261,1,0.9998086094856262
biosnap,random,full,42,262,0,3.776008497879957e-06
biosnap,random,full,42,263,1,0.9999908208847046
biosnap,random,full,42,264,1,0.9986807703971863
biosnap,random,full,42,265,1,0.999701201915741
biosnap,random,full,42,266,0,0.5377904772758484
biosnap,random,full,42,267,1,0.28773796558380127
biosnap,random,full,42,268,0,0.003956401254981756
biosnap,random,full,42,269,1,0.9999982118606567
biosnap,random,full,42,270,1,0.9979485869407654
biosnap,random,full,42,271,0,1.41261679686977e-07
biosnap,random,full,42,272,1,0.9999995231628418
biosnap,random,full,42,273,0,0.6789842844009399
biosnap,random,full,42,274,1,0.999971866607666
biosnap,random,full,42,275,1,0.9999927282333374
biosnap,random,full,42,276,0,0.003446984803304076
biosnap,random,full,42,277,0,0.0003482855099719018
biosnap,random,full,42,278,1,0.9999992847442627
biosnap,random,full,42,279,1,0.9999793767929077
biosnap,random,full,42,280,0,0.6854349970817566
biosnap,random,full,42,281,0,0.0035322706680744886
biosnap,random,full,42,282,1,0.9999716281890869
biosnap,random,full,42,283,1,0.9999995231628418
biosnap,random,full,42,284,0,0.9155229330062866
biosnap,random,full,42,285,0,0.00011525417357916012
biosnap,random,full,42,286,0,0.0002541168942116201
biosnap,random,full,42,287,0,2.0767238311236724e-05
biosnap,random,full,42,288,0,0.0001369351230096072
biosnap,random,full,42,289,1,0.9985297918319702
biosnap,random,full,42,290,1,0.9999772310256958
biosnap,random,full,42,291,1,0.7822361588478088
biosnap,random,full,42,292,0,0.0016377229476347566
biosnap,random,full,42,293,1,0.997334897518158
biosnap,random,full,42,294,0,0.003679330227896571
biosnap,random,full,42,295,1,2.230319478258025e-05
biosnap,random,full,42,296,1,0.9999456405639648
biosnap,random,full,42,297,1,0.9990604519844055
biosnap,random,full,42,298,1,0.7902334928512573
biosnap,random,full,42,299,1,0.00015059382712934166
biosnap,random,full,42,300,1,0.9999489784240723
biosnap,random,full,42,301,0,2.472446249157656e-05
biosnap,random,full,42,302,1,0.9999793767929077
biosnap,random,full,42,303,1,0.9826608300209045
biosnap,random,full,42,304,0,2.5669045498943888e-05
biosnap,random,full,42,305,1,0.9971746206283569
biosnap,random,full,42,306,0,0.0018358755623921752
biosnap,random,full,42,307,1,0.9992984533309937
biosnap,random,full,42,308,1,0.9999444484710693
biosnap,random,full,42,309,0,0.012818891555070877
biosnap,random,full,42,310,0,0.010223900899291039
biosnap,random,full,42,311,1,0.015400896780192852
biosnap,random,full,42,312,1,0.9999982118606567
biosnap,random,full,42,313,0,0.2668803632259369
biosnap,random,full,42,314,0,0.00019901245832443237
biosnap,random,full,42,315,0,0.0041525945998728275
biosnap,random,full,42,316,1,0.9999995231628418
biosnap,random,full,42,317,1,0.999990701675415
biosnap,random,full,42,318,0,0.14184118807315826
biosnap,random,full,42,319,1,0.9999375343322754
biosnap,random,full,42,320,1,0.024703525006771088
biosnap,random,full,42,321,1,0.1107114776968956
biosnap,random,full,42,322,1,0.9993810653686523
biosnap,random,full,42,323,0,0.4538152515888214
biosnap,random,full,42,324,1,0.18436157703399658
biosnap,random,full,42,325,0,0.003943874035030603
biosnap,random,full,42,326,0,0.15102095901966095
biosnap,random,full,42,327,0,2.3891155720434654e-09
biosnap,random,full,42,328,1,0.9967209696769714
biosnap,random,full,42,329,0,5.0485588872106746e-05
biosnap,random,full,42,330,1,0.923493504524231
biosnap,random,full,42,331,1,0.9998815059661865
biosnap,random,full,42,332,1,0.9086325168609619
biosnap,random,full,42,333,0,0.9997584223747253
biosnap,random,full,42,334,1,0.9999347925186157
biosnap,random,full,42,335,1,0.8942046165466309
biosnap,random,full,42,336,0,3.417183336296148e-08
biosnap,random,full,42,337,1,1.0
biosnap,random,full,42,338,0,0.1047702208161354
biosnap,random,full,42,339,1,0.0003647404082585126
biosnap,random,full,42,340,1,0.9999659061431885
biosnap,random,full,42,341,1,0.9998390674591064
biosnap,random,full,42,342,1,0.014341236092150211
biosnap,random,full,42,343,0,0.0015382481506094337
biosnap,random,full,42,344,0,0.9999998807907104
biosnap,random,full,42,345,1,0.9999998807907104
biosnap,random,full,42,346,1,0.999901533126831
biosnap,random,full,42,347,1,0.999763548374176
biosnap,random,full,42,348,0,0.9998230338096619
biosnap,random,full,42,349,0,0.0014234348200261593
biosnap,random,full,42,350,1,0.9827489852905273
biosnap,random,full,42,351,0,0.9983522891998291
biosnap,random,full,42,352,0,0.9999535083770752
biosnap,random,full,42,353,1,0.9995315074920654
biosnap,random,full,42,354,0,0.5634562969207764
biosnap,random,full,42,355,1,0.9998890161514282
biosnap,random,full,42,356,1,0.9999991655349731
biosnap,random,full,42,357,0,0.00020546755695249885
biosnap,random,full,42,358,0,0.0004760918382089585
biosnap,random,full,42,359,1,0.9999198913574219
biosnap,random,full,42,360,1,0.0032009694259613752
biosnap,random,full,42,361,0,0.99994957447052
biosnap,random,full,42,362,1,0.9999997615814209
biosnap,random,full,42,363,0,0.00136428396217525
biosnap,random,full,42,364,0,0.9986317753791809
biosnap,random,full,42,365,1,1.0
biosnap,random,full,42,366,0,0.16381768882274628
biosnap,random,full,42,367,0,0.05114791914820671
biosnap,random,full,42,368,1,0.9999979734420776
biosnap,random,full,42,369,1,0.9999909400939941
biosnap,random,full,42,370,1,0.9978229999542236
biosnap,random,full,42,371,0,0.01921006292104721
biosnap,random,full,42,372,0,2.9432160886244674e-07
biosnap,random,full,42,373,0,0.8954566121101379
biosnap,random,full,42,374,1,0.8493515849113464
biosnap,random,full,42,375,0,1.0125315839104587e-06
biosnap,random,full,42,376,1,0.9998871088027954
biosnap,random,full,42,377,0,9.351849143968138e-07
biosnap,random,full,42,378,0,0.0001679823617450893
biosnap,random,full,42,379,1,2.2258500393945724e-06
biosnap,random,full,42,380,0,0.0857517346739769
biosnap,random,full,42,381,1,0.9993941783905029
biosnap,random,full,42,382,1,0.9420444369316101
biosnap,random,full,42,383,0,0.20374846458435059
biosnap,random,full,42,384,1,0.9999234676361084
biosnap,random,full,42,385,0,0.9866859912872314
biosnap,random,full,42,386,1,0.9967494010925293
biosnap,random,full,42,387,0,0.9920529127120972
biosnap,random,full,42,388,0,0.00021319344523362815
biosnap,random,full,42,389,0,4.4572561819222756e-07
biosnap,random,full,42,390,1,0.00175218575168401
biosnap,random,full,42,391,1,0.6876179575920105
biosnap,random,full,42,392,1,0.9999908208847046
biosnap,random,full,42,393,0,1.1722520176782325e-10
biosnap,random,full,42,394,1,0.9999990463256836
biosnap,random,full,42,395,0,0.9970369338989258
biosnap,random,full,42,396,1,0.9999992847442627
biosnap,random,full,42,397,1,0.9999871253967285
biosnap,random,full,42,398,1,0.9999650716781616
biosnap,random,full,42,399,0,0.8994950652122498
biosnap,random,full,42,400,1,0.9999995231628418
biosnap,random,full,42,401,1,0.01817372813820839
biosnap,random,full,42,402,0,0.01140545029193163
biosnap,random,full,42,403,1,1.0
biosnap,random,full,42,404,0,0.011717511340975761
biosnap,random,full,42,405,0,0.004496710374951363
biosnap,random,full,42,406,0,0.7975622415542603
biosnap,random,full,42,407,0,0.0007287174230441451
biosnap,random,full,42,408,1,0.9995332956314087
biosnap,random,full,42,409,1,0.9999979734420776
biosnap,random,full,42,410,0,0.00042016326915472746
biosnap,random,full,42,411,1,0.9948409199714661
biosnap,random,full,42,412,1,0.9999991655349731
biosnap,random,full,42,413,1,0.2551659345626831
biosnap,random,full,42,414,0,1.4621635273215361e-05
biosnap,random,full,42,415,0,0.22504732012748718
biosnap,random,full,42,416,0,0.0006078421138226986
biosnap,random,full,42,417,1,0.9857381582260132
biosnap,random,full,42,418,1,0.9999101161956787
biosnap,random,full,42,419,1,0.9997076392173767
biosnap,random,full,42,420,1,8.798515409580432e-06
biosnap,random,full,42,421,1,0.9998385906219482
biosnap,random,full,42,422,1,0.9999982118606567
biosnap,random,full,42,423,0,0.0012880308786407113
biosnap,random,full,42,424,1,0.992643415927887
biosnap,random,full,42,425,0,0.9997227787971497
biosnap,random,full,42,426,1,0.998068630695343
biosnap,random,full,42,427,1,0.9967268705368042
biosnap,random,full,42,428,0,0.625738263130188
biosnap,random,full,42,429,1,0.9999946355819702
biosnap,random,full,42,430,0,8.348160918103531e-08
biosnap,random,full,42,431,1,0.9999783039093018
biosnap,random,full,42,432,1,0.9999650716781616
biosnap,random,full,42,433,0,0.34391239285469055
biosnap,random,full,42,434,0,0.9998063445091248
biosnap,random,full,42,435,1,0.9999934434890747
biosnap,random,full,42,436,1,0.9999958276748657
biosnap,random,full,42,437,0,8.004517439985648e-06
biosnap,random,full,42,438,0,1.0867410793480303e-07
biosnap,random,full,42,439,0,0.00022393673134502023
biosnap,random,full,42,440,0,0.00010796274727908894
biosnap,random,full,42,441,0,0.9695687294006348
biosnap,random,full,42,442,0,0.00012162641360191628
biosnap,random,full,42,443,0,0.9915987253189087
biosnap,random,full,42,444,1,0.9846081137657166
biosnap,random,full,42,445,1,0.9999374151229858
biosnap,random,full,42,446,0,0.00017071023466996849
biosnap,random,full,42,447,1,0.9999960660934448
biosnap,random,full,42,448,0,0.9999854564666748
biosnap,random,full,42,449,1,0.9999518394470215
biosnap,random,full,42,450,1,0.00047491423902101815
biosnap,random,full,42,451,1,0.9999791383743286
biosnap,random,full,42,452,0,2.3438403786713025e-06
biosnap,random,full,42,453,1,0.9996429681777954
biosnap,random,full,42,454,1,0.9996509552001953
biosnap,random,full,42,455,0,1.9601732503815583e-07
biosnap,random,full,42,456,0,0.001934654195792973
biosnap,random,full,42,457,1,0.9989917874336243
biosnap,random,full,42,458,0,1.8783309485570499e-07
biosnap,random,full,42,459,1,0.9999988079071045
biosnap,random,full,42,460,0,5.5838845582911745e-05
biosnap,random,full,42,461,1,0.21765778958797455
biosnap,random,full,42,462,1,0.14704522490501404
biosnap,random,full,42,463,1,0.9999768733978271
biosnap,random,full,42,464,1,0.999809205532074
biosnap,random,full,42,465,0,7.435449333570432e-06
biosnap,random,full,42,466,0,0.9229708313941956
biosnap,random,full,42,467,1,0.0028492130804806948
biosnap,random,full,42,468,1,1.0
biosnap,random,full,42,469,1,0.998967170715332
biosnap,random,full,42,470,1,0.9865641593933105
biosnap,random,full,42,471,1,0.99396151304245
biosnap,random,full,42,472,1,0.9888131022453308
biosnap,random,full,42,473,1,0.12955549359321594
biosnap,random,full,42,474,0,0.06867413222789764
biosnap,random,full,42,475,0,0.004024671856313944
biosnap,random,full,42,476,1,0.9999924898147583
biosnap,random,full,42,477,0,0.047914132475852966
biosnap,random,full,42,478,1,0.9999985694885254
biosnap,random,full,42,479,0,3.0871442504576407e-06
biosnap,random,full,42,480,1,0.9999843835830688
biosnap,random,full,42,481,0,0.024199148640036583
biosnap,random,full,42,482,1,0.9999872446060181
biosnap,random,full,42,483,0,0.00030936687835492194
biosnap,random,full,42,484,0,6.377533281920478e-06
biosnap,random,full,42,485,0,2.7974745535175316e-05
biosnap,random,full,42,486,0,0.9838040471076965
biosnap,random,full,42,487,1,0.706608235836029
biosnap,random,full,42,488,0,5.824719817582036e-09
biosnap,random,full,42,489,1,0.9999990463256836
biosnap,random,full,42,490,0,0.0038007369730621576
biosnap,random,full,42,491,1,0.0010093286400660872
biosnap,random,full,42,492,0,0.012502397410571575
biosnap,random,full,42,493,1,0.9999997615814209
biosnap,random,full,42,494,1,0.9997749924659729
biosnap,random,full,42,495,1,0.9780057072639465
biosnap,random,full,42,496,1,0.06193459779024124
biosnap,random,full,42,497,1,0.9999920129776001
biosnap,random,full,42,498,1,0.45902326703071594
biosnap,random,full,42,499,0,6.862558620923664e-06
biosnap,random,full,42,500,1,0.05046257749199867
biosnap,random,full,42,501,1,1.0
biosnap,random,full,42,502,0,0.0003358162648510188
biosnap,random,full,42,503,1,0.9999377727508545
biosnap,random,full,42,504,0,2.2525557596964063e-06
biosnap,random,full,42,505,0,0.2608834207057953
biosnap,random,full,42,506,0,0.8113522529602051
biosnap,random,full,42,507,0,0.005251248832792044
biosnap,random,full,42,508,1,0.9999946355819702
biosnap,random,full,42,509,0,0.9460756778717041
biosnap,random,full,42,510,0,4.6689845476066694e-05
biosnap,random,full,42,511,0,0.0002865091373678297
biosnap,random,full,42,512,1,0.3041779398918152
biosnap,random,full,42,513,0,0.00031732083880342543
biosnap,random,full,42,514,0,7.447225129908475e-07
biosnap,random,full,42,515,0,1.689954660832882e-05
biosnap,random,full,42,516,1,0.5241919159889221
biosnap,random,full,42,517,0,3.8244083953031804e-06
biosnap,random,full,42,518,1,1.0
biosnap,random,full,42,519,0,0.0019279841799288988
biosnap,random,full,42,520,0,0.0004467914695851505
biosnap,random,full,42,521,0,0.22225764393806458
biosnap,random,full,42,522,0,0.0011174806859344244
biosnap,random,full,42,523,0,2.177777957967919e-07
biosnap,random,full,42,524,1,0.9999966621398926
biosnap,random,full,42,525,1,0.9999605417251587
biosnap,random,full,42,526,1,1.0
biosnap,random,full,42,527,0,0.8727233409881592
biosnap,random,full,42,528,0,2.34513635177791e-07
biosnap,random,full,42,529,1,0.9999716281890869
biosnap,random,full,42,530,1,0.9999988079071045
biosnap,random,full,42,531,1,0.9999858140945435
biosnap,random,full,42,532,1,0.9576498866081238
biosnap,random,full,42,533,1,0.6170779466629028
biosnap,random,full,42,534,1,0.9999996423721313
biosnap,random,full,42,535,0,0.2460557371377945
biosnap,random,full,42,536,0,0.003910675644874573
biosnap,random,full,42,537,1,0.9999856948852539
biosnap,random,full,42,538,0,4.651914059650153e-05
biosnap,random,full,42,539,0,0.0018737895879894495
biosnap,random,full,42,540,0,5.591573062702082e-05
biosnap,random,full,42,541,0,0.0002181018644478172
biosnap,random,full,42,542,1,0.9999990463256836
biosnap,random,full,42,543,0,0.7518513202667236
biosnap,random,full,42,544,1,0.5474565625190735
biosnap,random,full,42,545,0,0.2900390326976776
biosnap,random,full,42,546,0,0.9999494552612305
biosnap,random,full,42,547,1,0.829268217086792
biosnap,random,full,42,548,1,0.9996894598007202
biosnap,random,full,42,549,1,0.9999915361404419
biosnap,random,full,42,550,0,6.399909011634008e-07
biosnap,random,full,42,551,0,0.5126748085021973
biosnap,random,full,42,552,1,0.6506436467170715
biosnap,random,full,42,553,1,0.9999675750732422
biosnap,random,full,42,554,1,0.999880313873291
biosnap,random,full,42,555,0,5.3862233471591026e-05
biosnap,random,full,42,556,1,0.9997935891151428
biosnap,random,full,42,557,1,0.9999933242797852
biosnap,random,full,42,558,1,0.9999977350234985
biosnap,random,full,42,559,0,1.2985116093489069e-08
biosnap,random,full,42,560,0,5.615534246317111e-05
biosnap,random,full,42,561,0,0.03125537186861038
biosnap,random,full,42,562,1,0.22531071305274963
biosnap,random,full,42,563,1,0.9997385144233704
biosnap,random,full,42,564,0,0.014400427229702473
biosnap,random,full,42,565,0,0.9794743061065674
biosnap,random,full,42,566,0,0.000855751452036202
biosnap,random,full,42,567,0,0.0009396134410053492
biosnap,random,full,42,568,1,1.0
biosnap,random,full,42,569,0,0.03318823501467705
biosnap,random,full,42,570,0,0.8068042993545532
biosnap,random,full,42,571,1,0.6620317101478577
biosnap,random,full,42,572,1,0.9999778270721436
